{1}|{[63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83],[76],[1],[10],[0]}
{2}|{[63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83],[76],[1],[10],[0]}
{3}|{[63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83],[76],[1],[10],[0]}
{4}|{[63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83],[76],[1],[10],[0]}
{5}|{[63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83],[76],[1],[10],[0]}
{6}|{[63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83],[76],[1],[10],[0]}
{7}|{[63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83],[76],[1],[10],[0]}
{8}|{[63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83],[76],[1],[10],[0]}
{9}|{[63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83],[76],[1],[10],[0]}
{10}|{[63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83],[76],[1],[10],[0]}
{11}|{[63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83],[76],[1],[10],[0]}
{12}|{[63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83],[76],[1],[10],[0]}
{13}|{[63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83],[76],[1],[10],[0]}
{14}|{[63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83],[76],[1],[10],[0]}
{15}|{[63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83],[76],[1],[10],[0]}
{16}|{[63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83],[76],[1],[10],[0]}
{17}|{[63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83],[76],[1],[10],[0]}
{18}|{[63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83],[76],[1],[10],[0]}
{19}|{[63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83],[76],[1],[10],[0]}
{20}|{[63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83],[76],[1],[10],[0]}
{21}|{[63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83],[76],[1],[10],[0]}
{22}|{[63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83],[76],[1],[10],[0]}
{23}|{[63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83],[76],[1],[10],[0]}
{24}|{[63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83],[76],[1],[10],[0]}
{25}|{[63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83],[76],[1],[10],[0]}
{26}|{[63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83],[76],[1],[10],[0]}
{27}|{[63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83],[76],[1],[10],[0]}
{28}|{[63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83],[76],[1],[10],[0]}
{29}|{[63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83],[76],[1],[10],[0]}
{30}|{[63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83],[76],[1],[10],[0]}
{31}|{[63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83],[76],[1],[10],[0]}
{32}|{[63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83],[76],[1],[10],[0]}
{33}|{[63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83],[76],[1],[10],[0]}
{34}|{[63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83],[76],[1],[10],[0]}
{35}|{[63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83],[76],[1],[10],[0]}
{36}|{[63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83],[76],[1],[10],[0]}
{37}|{[63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83],[76],[1],[10],[0]}
{38}|{[63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83],[76],[1],[10],[0]}
{39}|{[63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83],[76],[1],[10],[0]}
{40}|{[63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83],[76],[1],[10],[0]}
{41}|{[63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83],[76],[1],[10],[0]}
{42}|{[63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83],[76],[1],[10],[0]}
{43}|{[63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83],[76],[1],[10],[0]}
{44}|{[63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83],[76],[1],[10],[0]}
{45}|{[63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83],[76],[1],[10],[0]}
{46}|{[63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83],[76],[1],[10],[0]}
{47}|{[63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83],[76],[1],[10],[0]}
{48}|{[63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83],[76],[1],[10],[0]}
{49}|{[63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83],[76],[1],[10],[0]}
{50}|{[63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83],[76],[1],[10],[0]}
{51}|{[63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83],[76],[1],[10],[0]}
{52}|{[63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83],[76],[1],[10],[0]}
{53}|{[63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83],[76],[1],[10],[0]}
{54}|{[63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83],[76],[1],[10],[0]}
{55}|{[63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83],[76],[1],[10],[0]}
{56}|{[63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83],[76],[1],[10],[0]}
{57}|{[63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83],[76],[1],[10],[0]}
{58}|{[63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83],[76],[1],[10],[0]}
{59}|{[63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83],[76],[1],[10],[0]}
{60}|{[63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83],[76],[1],[10],[0]}
{61}|{[63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83],[76],[1],[10],[0]}
{62}|{[63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83],[76],[1],[10],[0]}
{63}|{[63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83],[76],[1],[10],[0]}
{64}|{[63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83],[76],[1],[10],[0]}
{65}|{[63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83],[76],[1],[10],[0]}
{66}|{[63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83],[76],[1],[10],[0]}
{67}|{[63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83],[76],[1],[10],[0]}
{68}|{[63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83],[76],[1],[10],[0]}
{69}|{[63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83],[76],[1],[10],[0]}
{70}|{[63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83],[76],[1],[10],[0]}
{71}|{[63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83],[76],[1],[10],[0]}
{72}|{[63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83],[76],[1],[10],[0]}
{73}|{[63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83],[76],[1],[10],[0]}
{74}|{[63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83],[76],[1],[10],[0]}
{75}|{[63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83],[76],[1],[10],[0]}
{76}|{[63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83],[76],[1],[10],[0]}
